almsivi_DESC;The Tribunal Temple is the native religion of the Dunmer, the inhabitants of Morrowind. They worship the living Gods, Almalexia, Sotha Sil and Vivec, known together as the Almsivi, and revere the “good Daedra” as well as an extensive chain of saints. The Almsivi origin lies in the end of the War of The First Council when the Chimer (who later would be turned into the Dunmer) won the war against the Dwemer and took the Tools of Kagrenac the Master Craftsman for themselves. Years later, Sotha Sil found a way to use the Tools on the Heart of Lorkhan and used the Heart’s divine power to create the Tribunal. With their new-found divine power the Almsivi did great deeds for the Dunmer and were, in turn, worshipped by them.;;;;;;;;;;;;;x
kapotun_pantheon_DESC;The Kapotun Patheon is a complex almagation of gods and beliefs.;;;;;;;;;;;;;x
alikr_DESC;A natural evolution of the Yokudan's Sakatal-centered faith, the Alik’r religion has, as chieftain of the pantheon, Ruptga, or Tall Papa, the first to survive Satakal's destruction. Others Gods include Zeht, Tall Papa's wife Morwha, Tava, HoonDing, Leki, Onsi, Diagna and Tu'whacca, who was thought to be some sort of god of apathy before the creation of the world, when he became a caretaker and protector of souls. The Yokudan creation myth involved Sep, a "crazy" merchant god who convinced the others to create the mortal world to make it easier for more spirits to survive Satakal's inevitable onslaught. Except it didn't make it easier. Rather, the mortal plane acts as a trap and makes apotheosis even harder. In this way, the Redguard view of creation has more in common with the Elven tradition than that of other humans, who view the mortal plane as a blessing.;;;;;;;;;;;;x
apologist_DESC;The Apologists believe that Mundus and the mortal plane are not as bad as the purist Mer make it sound and do not wish to see its end or to be freed from it. They mostly worship [Root.GetStendarr], who, in early Aldmeri legends, is considered the “Apologist of Man” and hold a grudge against the other Aldmeri Gods and their adherents.;;;;;;;;;;;;;x
arcturian_DESC;Followers of the scandalous book known as the Arcturian Heresy, the Arcturians believe that Talos, hero-god of Mankind, is nothing more than a fraud. By their doctrines, Talos of Atmora is, in fact, Hjalti Early-Beard, a Breton of High Rock Amidst rumors of a warlord destined to rule Tamriel, he rose to prominence in the service of King Cuhlecain and fought to unify Cyrodiil. Few knew of the existence of his secret ally, the Underking, Ysmir Kingmaker. The Underking provided assistance to the young General, but the manner of his assistance is vaguely described in the book. There are references to a storm that talks all night with Hjalti and deflected arrows while Hjalti shouted down the wall of Old Hrol'dan, where Hjalti was given the name Talos, meaning Stormcrown, by his men. This storm is most likely the Underking, as his body had recently been blasted to ash by the Greybeards, and he is referred to as 'Ysmir, the Grey Wind' and 'the Storm of Kyne'. After the province was conquered, Hjalti murdered Cuhlecain and his contingent in the Imperial City and blamed the deaths and ensuing blaze on assassins from High Rock. The Underking continued to aid in his conquests, and Hjalti took the name Tiber Septim, ascending to the Ruby Throne.;;;;;;;;;;;;;x
auriel_DESC;The original Aldmeri pantheon consists of Auri-El, Jephre, Lorkhan, Magnus, Trinimac, Phynaster, Xen, Xarxes, [Root.GetStendarr], Syrabane and Mara. The pantheon’s chief god, Auri-El, is linked Anui-El and to Anu, the Everything, and is also the chief of most Aldmeri pantheons, with most Altmer and Bosmer claiming direct descent from him. In a moment of weakness, Auri-El agreed to take his part in the creation of Mundus, which forever sundered the Elves from the spirit worlds of eternity. To make up for it, he helped to defeat the armies of Lorkhan in mythic times and establish the first kingdoms of the Aldmer, Altmora and Old Ehlnofey, before ascending to heaven to teach his followers how they might learn the steps needed to escape the mortal plane.;;;;;;;;;;;;;x
brethren_DESC;A dangerous cult from the Colovian West, their followers are secretive and keen to make sacrifices to their mysterious lords, the Deep Ones, who are said to live in caverns all over the underground of Colovia and grant fortune and prosperity to their followers. The process of contacting the Deep Ones involve hours of worship, countles readings of the Bible of the Deep Ones and, more strangely, living years underground in the hope of seeing a Deep One with your own eyes.;;;;;;;;;;;;;x
ACCORDS_OF_MADNESS;The Accords of Madness;;;;;;;;;;;;;x
old_gods_reformed;New Gods;;;;;;;;;;;;;x
old_gods_reformed_DESC;Despite being referred to as the 'New Gods', the reformed faith of the Reachmen did not introduce new deities as much as it codified and standardised the hierarchy and rituals of their worship of the Old Gods. While the faith remains far less centralised than worship of the Divines, the introduction of a dedicated priest caste has done much to bring even the most isolated and barbaric communities of the Reach into the fold of religious orthodoxy.;;;;;;;;;;;;;x
aedra;Aedra;Aedra;Aedra;;Aedra;;;;;;;;;x
eight_divines_mod;Eights Worshipper;;;;;;;;;;;;;x
hist_rogue;Rogue Hist;;;;;;;;;;;;;x
hist_rogue_DESC;When a Hist disconnects from the other Hists, it becomes a Rogue Hist, unleashing unknown powers.;;;;;;;;;;;;;x
nine_divines_mod;Nines Worshipper;;;;;;;;;;;;;x
aedra_DESC;The original pantheon of the post-Alessian eras, consisting of Akatosh, [Root.GetArkay], Dibella, [Root.GetJulianos], [Root.GetKynareth], Mara, [Root.GetStendarr], and Zenithar. Worship of the Eight Divines was introduced by Alessia at the start of the First Era. This was a carefully designed compromise between the Aldmeri deities that the humans of Cyrodiil were accustomed to worshipping under Ayleid rule and the deities of Alessia's Nordic allies. This compromise didn’t occur without losses, as both the proto-Imperials and the Nords disliked the new perversions of their respective deities, which became a serious point of contention and religious unrest. The Eight Divines eventually reached prominence through the conquests of the Alessian Order and the later Cyrodiilic Empire, going on to became one of the most widespread and dominant religions in Tamriel.;;;;;;;;;;;;;x
eight_divines_DESC;The original pantheon of the post-Alessian eras, consisting of Akatosh, [Root.GetArkay], Dibella, [Root.GetJulianos], [Root.GetKynareth], Mara, [Root.GetStendarr] and Zenithar. Worship of the Eight Divines was introduced by Alessia at the start of the First Era. This was a carefully designed compromise between the Aldmeri deities that the humans of Cyrodiil were accustomed to worshipping under Ayleid rule and the deities of Alessia's Nordic allies. This compromise didn’t occur without losses, as both the proto-Imperials and the Nords disliked the new perversions of their respective deities, which became a serious point of contention and religious unrest. The Eight Divines eventually reached prominence through the conquests of the Alessian Order and the later Cyrodiilic Empire, going on to became one of the most widespread and dominant religions in Tamriel.;;;;;;;;;;;;;x
nine_divines_DESC;The Nine Divines are the original Eight Divines, augmented with the newly-ascended human known as Talos. Worship of the Nine Divines was established as the Imperial religion in the wake of Tiber Septim's death and apparent ascension under his Nordic name, Talos. Under the leadership of the Imperial Cult, the faith spread quickly from a nascent warrior cult to an Empire-spanning religion, with adopters spread through all the conquered provinces of Tamriel, eventually almost entirely usurping the traditional Eight Divines. The worship of a "man" side-by-side with older Aldmeri-inspired Gods led, of course, to intense debate and conflict with more traditional Altmer and Auri-El devotees.;;;;;;;;;;;;;x
nord_divines;Nordic;;;;;;;;;;;;;x
nord_divines_DESC;The Nordic faith follows the traditional gods of the Nord people.;;;;;;;;;;;;;x
breton_divines;Bretonnic;;;;;;;;;;;;;x
breton_divines_DESC;The Bretonnic faith follows the traditional gods of the Breton people.;;;;;;;;;;;;;x
pyandoneaic_DESC;The religious and cultural practices of the Maormer, as laid down and (for millennia) led by the [GetOrgnumGodKingEmperor] Orgnum, last of the Aldmeri, the race of Trinimac and Auri-El. They follow what they believe to be the original Aldmeri traditions and beliefs as interpreted by Orgnum and the six schools of Pyandoneaic philosophy. The faith is more fluid than most of the other existing religions, as the [GetOrgnumGodKingEmperor] can still impose [GetOrgnumHerHis] will on [GetOrgnumHerHis] followers, changing even the deepest core of their faith...;;;;;;;;;;;;;x
orphidian_DESC;The Orphidianic heresy is the extreme end of Orphidian thought, driven so far as to break and openly defy the established orthodox and Orgnumic view even on such fundamental issues as the exodus from Aldmeris and the origins of the current universe.;;;;;;;;;;;;;x
aipysurian_DESC;The Aipysurianic heresy is the extreme end of Aipysurian thought, driven so far as to break and openly defy the established orthodox and Orgnumic view even on such fundamental issues as the fall and coexistence of Trinimac and the prohibition of ritual venoms.;;;;;;;;;;;;;x
postorgnumic_DESC;Post-Orgnumic Thought is a catch-all term for those movements which reject either the authority or divinity of Orgnum. From Scriptural literalists and Aldmeri Restorationists all the way to the radical Snake Cults and the reformers and revolutionaries.;;;;;;;;;;;;;x
GOD_BRIARHEART;the Briarhearts;;;;;;;;;;;;;x
GOD_NIRNI;Nirni;;;;;;;;;;;;;x
GOD_SHEOR;Sheor;;;;;;;;;;;;;x
GOD_LORKHAJ;Lorkhaj;;;;;;;;;;;;;x
GOD_RAJHIN;Rajhin;;;;;;;;;;;;;x
GOD_MORIHAUS;Morihaus;;;;;;;;;;;;;x
