#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
5050chanceofhagraven;You will have an equal chance of becoming a Hagraven or dying from this ritual.;;;;;;;;;;;;;x
action_alchemy;Perform Alchemy;;;;;;;;;;;;;x
action_alchemy_desc;Dispatch your [GetLordSpiritualName] to your capital province to perform alchemical experiments.;;;;;;;;;;;;;x
action_colonise;Colonise Province;;;;;;;;;;;;;x
action_colonise_desc;Colonise the selected province, effectively converting its culture to your own. This can only be successfully used against provinces that are not of your own culture group and will not have any success if the Chancellor is not of the same culture as the ruler.;;;;;;;;;;;;;x
action_mage;Consult Grimoires;;;;;;;;;;;;;x
action_mage_desc;Your [GetLordSpiritualName] will be dispatched to your capital to consult their grimoires. For non-spellcasting classes, this will unlock the spellbook and grant access to a limited array of spells (your Magicka will be determined by -your- learning).;;;;;;;;;;;;;x
action_warmagic;War Magick;;;;;;;;;;;;;x
action_warmagic_desc;Your [GetLordSpiritualName] will be dispatched to the target province to boost its troops with their battle magick, and to recruit new War Mages to your cause.;;;;;;;;;;;;;x
agaceph_opinion;Agaceph Opinion;;;;;;;;;;;;;x
ahealth100d;This terrain in Black Marsh is horrendous...biting insects, leeches, spores, noxious fumes...I feel like I'm going to be sick!;;;;;;;;;;;;;x
ahealth100o1;Purchase some medicine to stave off the effects.;;;;;;;;;;;;;x
ahealth100o2;No...I can handle it!;;;;;;;;;;;;;x
ahealth100tt;Your condition worsens...;;;;;;;;;;;;;x
ahealth101d;The jungle is beautiful...but all too dangerous. Disease-carrying insects are everywhere, and I fear that I may have contracted something in my time here.;;;;;;;;;;;;;x
ahealth102d;These fetid swamps are rife with disease. Hostile widlife, rotting plant and animal matter...sickness thrives here. I've only briefly been here and I sense illness is setting in.;;;;;;;;;;;;;x
ahoy_captain;Ahoy Captain;;;;;;;;;;;;;x
akaviri_opinion;Akaviri Opinion;;;;;;;;;;;;;x
alchemy10d;Only the AI will see this event.;;;;;;;;;;;;;x
alchemy11d;[From.GetBestName], your alchemist, has prepared a powerful magicka potion for you to restore a portion of your magicka.;;;;;;;;;;;;;x
alchemy16d;[From.GetBestName], your alchemist, has prepared a potion to increase your martial and combat prowess whilst performing alchemical experiments in [From.Location.GetName].;;;;;;;;;;;;;x
alchemy17d;The potion of martial prowess seems to have had little if any appreciable effect.;;;;;;;;;;;;;x
alchemy1d;Whilst mixing random herbs and regents and experimenting with these concoctions upon the local livestock, you've managed to create a particularly potent virility potion.  Perhaps your liege would be interested in this discovery?;;;;;;;;;;;;;x
