EKJobs100Title;Vampire Found!;;;;;;;;;;;;;x
vampire_found_tooltip;You bring §Y[accused_vampire.GetBestName]§! to the court of §Y[Root.Liege.GetTitle] [Root.Liege.GetFirstName]§!, [Root.Liege.GetSheHe] will decide what to do!;;;;;;;;;x
accuse_rival_vampire_tooltip;Take this opportunity to get back at your rival and accuse §Y[rival_target.GetHerHim]§! of being a vampire. §Y[rival_target.GetBestName]§! might not be - but would still be humiliated nonetheless...;;;;;;;;;x
probably_not_a_vampire_tooltip;Quietly clear §Y[accused_vampire.GetBestName]§! as a suspect and move on.;;;;;;;;;x
vampire_imprison_tooltip;§Y[accused_vampire.GetBestName]§! is immediately thrown into the dungeon.;;;;;;;;;x
vampire_test_tooltip;Allow §Y[Root.GetLordSpiritualName]§! to determine if §Y[accused_vampire.GetBestName]§! is a vampire or not.;;;;;;;;;x
vampire_free_tooltip;Allow §Y[accused_vampire.GetBestName]§! to go free, exonerating [accused_vampire.GetHerHim] from any wrongdoing.;;;;;;;;;x
EKJobs105_known_vampire_suspect;The fact that the fiendish vampire [accused_vampire.GetBestName] openly preys on innocents to sate [accused_vampire.GetHerHis] thirst for blood, is an atrocity that should not go unpunished!;;;;;;;;;;;;;x
EKJobs105_known_benevolent_vampire_suspect;[accused_vampire.GetBestName] claims to carefully drink blood only from the willing, and only in times of need, but the fact of the matter is that [accused_vampire.GetSheHe] is a vampire, and is a threat all the same!;;;;;;;;;;;;;x
EKJobs105_unknown_vampire_highly_suspect;I have been monitoring [accused_vampire.GetBestName]'s appearance, schedule, dietary habits, and general demeanor for quite some time now. While the rest of court seems oblivious, I am almost certain that [accused_vampire.GetSheHe] is a vampire!;;;;;;;;;;;;;x
EKJobs105_fake_vampire_highly_suspect;I have been monitoring [accused_vampire.GetBestName]'s appearance, schedule, dietary habits, and general demeanor for quite some time now. While the rest of court seems oblivious, I am almost certain that that [accused_vampire.GetSheHe] is a vampire!;;;;;;;;;;;;;x
EKJobs105_unknown_vampire_moderate_suspect;I have been monitoring [accused_vampire.GetBestName]'s appearance, schedule, dietary habits, and general demeanor for quite some time now. While the rest of the court seems oblivious, I am quite suspicious that [accused_vampire.GetSheHe] is a vampire!;;;;;;;;;;;;;x
EKJobs105_fake_vampire_moderate_suspect;I have been monitoring [accused_vampire.GetBestName]'s appearance, schedule, dietary habits, and general demeanor for quite some time now. While the rest of the court seems oblivious, I am quite suspicious that [accused_vampire.GetSheHe] is a vampire!;;;;;;;;;;;;;x
EKJobs105_wildcard_vampire_suspect;I have been monitoring [accused_vampire.GetBestName]'s appearance, schedule, dietary habits, and general demeanor for quite some time now. Although I have some doubts as to [accused_vampire.GetHerHis] nature, I believe that [accused_vampire.GetFirstName] is a vampire!;;;;;;;;;;;;;x
EKJobs105OptA;Seize [accused_vampire.GetHerHim]! [accused_vampire.GetSheHeCap] will face [Root.Liege.GetTitle] [Root.Liege.GetFirstName]'s justice.;;;;;;;;;;;;;x
EKJobs105OptB;I know who I would rather accuse...;Il y a quelqu'un d'autre que je préférerais accuser...;Ich weiß, wen ich lieber beschuldigen würde ...;;Sé a quién preferiría acusar...;;;;;;;;;x
EKJobs105OptC;Perhaps [accused_vampire.GetFirstName] isn't a vampire...;;;;;;;;;x
EKJobs110_known_vampire_suspect;[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] bursts into your [Root.GetChamber], flanked by several [Root.GetReligionWarriorPlural] dragging [accused_vampire.GetBestName] with them in chains. "My [Root.GetTitle], it is no secret that [accused_vampire.GetFirstName] is a vampire, and preys on the living with reckless abandon! You must do something about [accused_vampire.GetHerHim]!";;;;;;;;;;;;;x
