#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
BM_REMAN_ERA;1E: Reman's Empire;;;;;;;;;;;x
BM_REMAN_ERA_INFO;Nary a year has passed since the ascension of Reman to the throne of Cyrodiil. Having defeated the Akaviri Invaders he now stands poised to raise a new empire of man to domination over the lands of Tamriel.;;;;;;;;;;x
BM_REMAN;1E: Reman's Empire (WIP/Incomplete);;;;;;;;;;;x
BM_REMAN_DESC;Nary a year has passed since the ascension of Reman to the throne of Cyrodiil. Having defeated the Akaviri Invaders he now stands poised to raise a new empire of man to domination over the lands of Tamriel.;;;;;;;;;;x
BM_INTERREGNUM_ERA;2E: The Interregnum;;;;;;;;;;;x
BM_INTERREGNUM_ERA_INFO;Twenty years ago, the last Akaviri Potentate and all of his heirs were murdered, ending the Second Empire. Cyrodiil, High Rock and Skyrim are now split between dozens of rival successor-states, former subjects of the Empire who struggle with one another over even the smallest of resources. Most of Tamriel fares no better, with regional hostilities gripping nearly every region outside of Alinor. In all this chaos, is it possible for the Empire to be restored? Can any individual possibly hope to pacify the turbulence and stand above all others as the Emperor of not only Cyrodiil, but of all of Tamriel? Anything is possible amidst the chaos of the Interregnum.;;;;;;;;;;;;;x
BM_INTERREGNUM;2E: The Interregnum;;;;;;;;;;;x
BM_INTERREGNUM_DESC;Twenty years ago, the last Akaviri Potentate and all of his heirs were murdered, ending the Second Empire. Cyrodiil, High Rock and Skyrim are now split between dozens of rival successor-states, former subjects of the Empire who struggle with one another over even the smallest of resources. Most of Tamriel fares no better, with regional hostilities gripping nearly every region outside of Alinor. In all this chaos, is it possible for the Empire to be restored? Can any individual possibly hope to pacify the turbulence and stand above all others as the Emperor of not only Cyrodiil, but of all of Tamriel? Anything is possible amidst the chaos of the Interregnum.;;;;;;;;;;;;;x
BM_REACHMEN_ERA;2E: The Black Drake;;;;;;;;;;;x
BM_REACHMEN_ERA_INFO;The lands of the Bretons stand in the shadow of the Black Drake. Bands of furious Reachmen, buoyed by monumental victories in Cyrodiil and thirsting for new pillage, have arrived at the gates of Evermore with the intention of conquering every last crag and meadow in High Rock. A coalition of Breton rulers has formed, desperate to halt the advances of the Black Drake's Empire. Meanwhile, the recently-subjugated Imperial vassals in Cyrodiil are keenly waiting for a moment to strike, in order to oust the Reachmen and restore the Empire back to Cyrodilic rule.;;;;;;;;;;;;;x
BM_REACHMEN;2E: The Black Drake;;;;;;;;;;;x
BM_REACHMEN_DESC;The lands of the Bretons stand in the shadow of the Black Drake. Bands of furious Reachmen, buoyed by monumental victories in Cyrodiil and thirsting for new pillage, have arrived at the gates of Evermore with the intention of conquering every last crag and meadow in High Rock. A coalition of Breton rulers has formed, desperate to halt the advances of the Black Drake's Empire. Meanwhile, the recently-subjugated Imperial vassals in Cyrodiil are keenly waiting for a moment to strike, in order to oust the Reachmen and restore the Empire back to Cyrodilic rule.;;;;;;;;;;;;;x
BM_KAMAL_ERA;2E: The Kamal Invasion;;;;;;;;;;;x
BM_KAMAL_ERA_INFO;Skyrim and Morrowind are in disarray as the barbarous Kamal under the command of Emperor Ada'Soom Dir-Kamal sweep across the northeast of Tamriel, destroying anything that dares to stand in their way. No one in Tamriel has discerned any reason why the Akaviri ruler would lead his troops on such an ambitious campaign, but the Nords and Dunmer do understand that they have no choice but to cooperate if they are to have any hope of repelling their attackers. In these unusual times, even the Argonians, long-standing enemies of the Dunmer, have shown a willingness to assist in the effort to drive the ferocious Kamal back to the sea and out of Tamriel.;;;;;;;;;;;;;x
BM_KAMAL;2E: The Kamal Invasion;;;;;;;;;;;x
