PROV1;Imperial Isle;Imperial Isle;Imperial Isle;;Imperial Isle;;;;;;;;;;;;;x
PROV2;Nikel;;;;;;;;;;;;;x
PROV3;Aleswell;;;;;;;;;;;;;x
PROV4;Caractacus;;;;;;;;;;;;;x
PROV5;Urasek;;;;;;;;;;;;;x
PROV6;Magia;;;;;;;;;;;;;x
PROV7;Sejanus;;;;;;;;;;;;;x
PROV8;Alessia;;;;;;;;;;;;;x
PROV9;Variela;;;;;;;;;;;;;x
PROV10;Bravil;;;;;;;;;;;;;x
PROV11;Irony;;;;;;;;;;;;;x
PROV12;Nomore;;;;;;;;;;;;;x
PROV13;Leyawiin;;;;;;;;;;;;;x
PROV14;Deepscorn;;;;;;;;;;;;;x
PROV15;Redman;;;;;;;;;;;;;x
PROV16;Veyond;;;;;;;;;;;;;x
PROV17;Teleman;;;;;;;;;;;;;x
PROV18;Flecia;;;;;;;;;;;;;x
PROV19;Aurus;;;;;;;;;;;;;x
PROV20;Dunstad;;;;;;;;;;;;;x
PROV21;Facian;;;;;;;;;;;;;x
PROV22;Entius;;;;;;;;;;;;;x
PROV23;Karthspire;;;;;;;;;;;;;x
PROV24;Redwater;;;;;;;;;;;;;x
PROV25;Horunn;;;;;;;;;;;;;x
PROV26;Chalman;;;;;;;;;;;;;x
PROV27;Frostcrag;;;;;;;;;;;;;x
PROV28;Toadstool;;;;;;;;;;;;;x
PROV29;Jerall;;;;;;;;;;;;;x
PROV30;Farragut;;;;;;;;;;;;;x
PROV31;Cheydinhal;;;;;;;;;;;;;x
PROV32;Naso;;;;;;;;;;;;;x
PROV33;Scinia;;;;;;;;;;;;;x
PROV34;Alftand;;;;;;;;;;;;;x
PROV35;Roebeck;;;;;;;;;;;;;x
PROV36;Blackboot;;;;;;;;;;;;;x
PROV37;Vlastarus;;;;;;;;;;;;;x
PROV38;Skingrad;;;;;;;;;;;;;x
PROV39;Gottlesfont;;;;;;;;;;;;;x
PROV40;Shorstone;;;;;;;;;;;;;x
PROV41;Ash;;;;;;;;;;;;;x
PROV42;Coldcorn;;;;;;;;;;;;;x
PROV43;Sancre Tor;;;;;;;;;;;;;x
PROV44;Rayles;;;;;;;;;;;;;x
PROV45;Chorrol;;;;;;;;;;;;;x
PROV46;Ontus;;;;;;;;;;;;;x
PROV47;Dirich;;;;;;;;;;;;;x
PROV48;Istirus;;;;;;;;;;;;;x
PROV49;Kvatch;;;;;;;;;;;;;x
PROV50;Linchal;;;;;;;;;;;;;x
PROV51;Hastrel;;;;;;;;;;;;;x
PROV52;Sutch;;;;;;;;;;;;;x
PROV53;Crowhaven;;;;;;;;;;;;;x
PROV54;Wariel;;;;;;;;;;;;;x
PROV55;Ansilvund;;;;;;;;;;;;;x
PROV56;Anvil;;;;;;;;;;;;;x
PROV57;Bruma;;;;;;;;;;;;;x
PROV58;Bitter Coast;;;;;;;;;;;;;x
PROV59;Pelagiad;;;;;;;;;;;;;x
PROV60;West Gash;;;;;;;;;;;;;x
PROV61;Ashlands;;;;;;;;;;;;;x
PROV62;Sheogorad;;;;;;;;;;;;;x
PROV63;Grazelands;;;;;;;;;;;;;x
PROV64;Azura's Coast;;;;;;;;;;;;;x
PROV65;Molag Amur;;;;;;;;;;;;;x
PROV66;Hirstaang;;;;;;;;;;;;;x
PROV67;Moesring;;;;;;;;;;;;;x
PROV68;Felsaad;;;;;;;;;;;;;x
PROV69;Firsthold;;;;;;;;;;;;;x
PROV70;Lillwood;;;;;;;;;;;;;x
PROV71;Dusk;;;;;;;;;;;;;x
PROV72;Sunhold;;;;;;;;;;;;;x
PROV73;Alinor;;;;;;;;;;;;;x
PROV74;Shimmerene;;;;;;;;;;;;;x
