title_sword_sibling;Sword Sibling;;;;;;;;;;;;;x
title_sword_sibling_desc;Sword Siblings are retainers who ride into battle alongside their liege, guard their liege at court and enforce the realm's laws - highly respectable stations in any society.;;;;;;;;;;;;;x
title_master_bladesman;Master Bladesman;;;;;;;;;;;;;x
title_master_bladesman_desc;The Master Bladesman is their liege's personal champion, serving as a bodyguard at court and on the battlefield. The Master Bladesman also is responsible for training lower-ranking guards in sword techniques.;;;;;;;;;;;;;x
title_court_historian;Court Historian;;;;;;;;;;;;;x
title_court_historian_desc;The Court Historian is tasked with recording current events and maintaining archives on astronomical patterns, cultural traditions, past events and even genealogy - assignments that the Altmer consider vital to maintaining a respectable court.;;;;;;;;;;;;;x
title_hist_speaker;Hist Speaker;;;;;;;;;;;;;x
title_hist_speaker_desc;A hallowed role within Argonia, Hist Speakers are individuals chosen to relate the stories and tellings of the Hist and the people of the root. Their day-to-day function is comparable to that of a Court Scribe however they often also fill the role of Court Poet, Historian, Entertainer and at times Diviner, interpreting visions and dreams sent by the Hist for confused or troubled lizardfolk.;;;;;;;;;;;;;x
title_venomtongue;Venomtongue;;;;;;;;;;;;;x
title_venomtongue_desc;A Venomtongue is a highly valued member of an Argonian ruler's entourage. Traditionally they are the Ruler's most trusted assassin and confidant, responsible for eliminating threats to their liege and their family.;;;;;;;;;;;;;x
title_vicereeve;Vicereeve;;;;;;;;;;;;;x
title_vicereeve_desc;Vicereeves are special emissaries who maintain communications with foreign dignitaries. They typically serve on diplomatic assignments not important enough for the Chancellor, but more important than tasks ordinarily delegated to embassies.;;;;;;;;;;;;;x
title_brewmaster;Brewmaster;;;;;;;;;;;;;x
title_brewmaster_desc;The Brewmaster is an important role within an Argonian Court. Historically they were responsible for preparing brews and concoctions from the Hist Sap and other ingredients found within Argonia for religious ceremonies, now however they fulfill a role akin to a Master of Ceremonies amongst the Hist. The Brewmaster is responsible for organising and coordinating events such as Feasts and Festivals but also on occasion is required to fulfill their ancient practice of brewing the Sap for special ceremonies.;;;;;;;;;;;;;x
title_guide;Guide;;;;;;;;;;;;;x
title_guide_desc;The Guides are the chief scouts of a given court. In small Ashlander camps, they search for the best hunting grounds, rescue lost tribes members and provide advance warning against raiders. In larger states, a Guide's job typically entails military reconnaissance.;;;;;;;;;;;;;x
title_wise_woman_ashlander;Wise Woman;;;;;;;;;;;;;x
title_wise_woman_ashlander_desc;The keeper of ancient oral traditions, the Wise Woman is one of the keystones of Velothi culture. Although traditionally subordinate to an Ashkhan, the Wise Woman is considered even more important to her people's well-being and cultural identity than her liege.;;;;;;;;;;;;;x
title_keeper_of_the_aviary;Keeper of the Aviary;;;;;;;;;;;;;x
title_keeper_of_the_aviary_desc;The Keeper of the Aviary captures, houses and breeds the many species of birds which provide the feathers used in traditional Ayleid clothing and jewelry. Many of these birds are rare and exotic species, and being given the trust to protect and care for the animals is a sign of great respect.;;;;;;;;;;;;;x
title_chief_gemcutter;Chief Gemcutter;;;;;;;;;;;;;x
title_chief_gemcutter_desc;The role of the Chief Gemcutter encompasses sculpting, enchanting and setting the powerful Welkynd and Varla stones which line the halls of the palace. It is generally considered a difficult job, but an honor worthy of the utmost esteem.;;;;;;;;;;;;;x
title_master_greenspeaker;Master Greenspeaker;;;;;;;;;;;;;x
title_master_greenspeaker_desc;The most traditional Bosmer rely on the plants of Valenwood for their well-being, but are forbidden by the Green Pact to harm them in any way. This paradox is solved by Greenspeakers, who use magic to bend existing plants to suit their people's needs, as well as grow new ones. As such, being recognized as the most senior Greenspeaker in a particular realm is considered highly prestigious.;;;;;;;;;;;;;x
title_master_butcher;Master Butcher;;;;;;;;;;;;;x
title_master_butcher_desc;The Master Butcher is personally responsible for preparing choice cuts of meat for the court to dine on, as well as running their liege's personal larder. Many Bosmer are carnivorous by preference, making a skilled butcher highly respected indeed.;;;;;;;;;;;;;x
title_executive_chef;Executive Chef;;;;;;;;;;;;;x
title_executive_chef_desc;There is perhaps no culture in the entirety of Nirn that exalts the culinary arts as much as the Bretons do. The Executive Chef is expected to develop complex recipes and produce tantalizing dishes, and has a great deal of control over the kitchens and relevant servants.;;;;;;;;;;;;;x
title_court_philosopher;Court Philosopher;;;;;;;;;;;;;x
title_court_philosopher_desc;The Court Philosopher serves as a sort of unofficial advisor, studying and analyzing a diverse array of topics. As a result, they are often by their liege's side at court - a highly visible and prestigious position.;;;;;;;;;;;;;x
title_lawman;Lawman;;;;;;;;;;;;;x
title_lawman_desc;In Dunmer society, Lawmen are retainers who settle disputes, hunt down criminals, duel members of rival houses and carry out other martial tasks. Receiving the title of Lawman is a sign of recognition of one's reliability.;;;;;;;;;;;;;x
title_mouth;Mouth;;;;;;;;;;;;;x
title_mouth_desc;The Mouth personally speaks for their liege, most often acting as a surrogate at council meetings and ceremonial gatherings. A Mouth also has significant administrative powers, and oversees the court's day-to-day affairs.;;;;;;;;;;;;;x
title_quaestor;Quaestor;;;;;;;;;;;;;x
title_quaestor_desc;The highly-organized, bureaucratic structure of Cyrodiilic military and political culture requires skilled agents in order to function. This role is fulfilled by Quaestors, who additionally act as bodyguards and battlefield retainers when necessary.;;;;;;;;;;;;;x
title_legate;Legate;;;;;;;;;;;;;x
title_legate_desc;A Legate is an officer and operative entrusted with military and administrative assignments. As a Legate traditionally serves as the right hand of their direct superior, it is considered is a highly prestigious title.;;;;;;;;;;;;;x
title_hearth_guardian;Hearth Guardian;;;;;;;;;;;;;x
title_hearth_guardian_desc;Hearth Guardians are those personally sworn to maintain the fireplaces of the palace. They are the first line of defense in preventing and stopping conflagrations, and oversee the servants responsible for cleaning the hearths.;;;;;;;;;;;;;x
title_keeper_of_the_ink;Keeper of the Ink;;;;;;;;;;;;;x
title_keeper_of_the_ink_desc;Tattooing is a cornerstone of Kamal culture, and most Kamal regularly receive tattoos to represent important occasions, loved ones, nature, and other subjects. The Keeper of the Ink procures and manages the various pigmented inks used by those within the court, providing them whenever they are required.;;;;;;;;;;;;;x
title_chief_astronomer;Chief Astronomer;;;;;;;;;;;;;x
