string_woods;woods;;;;;;;;;x
string_marsh;marsh;;;;;;;;;x
string_islander_terrain;island terrain;;;;;;;;;x
string_ashlands;ashlands;;;;;;;;;x
string_argonia;Black Marsh;;;;;;;;;x
string_alikr_desert;Alik'r Desert;;;;;;;;;x
string_mangrove_swamp;mangrove swamp;;;;;;;;;x
string_wasteland;wasteland;;;;;;;;;x
string_valen_woods;Valenwoods;;;;;;;;;x
string_Woods;Woods;;;;;;;;;x
string_Marsh;Marsh;;;;;;;;;x
string_Islander_Terrain;Island terrain;;;;;;;;;x
string_Ashlands;Ashlands;;;;;;;;;x
string_Argonia;Black Marsh;;;;;;;;;x
string_Alikr_Desert;Alik'r Desert;;;;;;;;;x
string_Mangrove_Swamp;Mangrove swamp;;;;;;;;;x
string_Wasteland;Wasteland;;;;;;;;;x
string_Valen_Woods;Valenwoods;;;;;;;;;x
GetSloadTitleFemale_string;[This.GetTitle];;;;;;;;;x
GetSloadTitleMale_string;[This.GetTitle];;;;;;;;;x
string_goddess_mara;Mara;;;;;;;;;x
string_goddess_morwha;Morwha;;;;;;;;;x
